Time		V		A		Wh		Ah	CA_Ah
00:01.6		41.32		-0.01		0.0		0.00	2.99
00:02.6		41.32		-0.01		0.0		0.00	2.99
00:03.6		41.32		0.01		0.0		0.00	2.99
00:04.6		41.32		0.00		0.0		0.00	2.99
00:05.6		41.32		0.01		0.0		0.00	2.99
00:06.6		41.32		0.00		0.0		0.00	2.99
00:07.6		41.32		0.00		0.0		0.00	2.99
00:08.6		41.32		0.01		0.0		0.00	2.99
00:09.6		41.32		-0.01		0.0		0.00	2.99
00:10.6		41.32		0.00		0.0		0.00	2.99
00:11.6		41.31		0.01		0.0		0.00	2.99
00:12.6		41.32		0.01		0.0		0.00	2.99
00:13.6		41.32		-0.01		0.0		0.00	2.99
00:14.6		41.32		0.01		0.0		0.00	2.99
00:15.6		41.32		0.01		0.0		0.00	2.99
00:16.6		41.32		0.01		0.0		0.00	2.99
00:17.6		41.32		0.00		0.0		0.00	2.99
00:18.6		41.32		0.01		0.0		0.00	2.99
00:19.6		41.10		2.16		0.0		0.00	2.99
00:20.6		40.71		5.81		0.0		0.00	2.99
00:21.6		40.72		5.81		0.1		0.00	2.99
00:22.6		40.71		5.82		0.2		0.00	3.00
00:23.6		40.71		5.82		0.2		0.01	3.00
00:24.6		40.71		5.81		0.3		0.01	3.00
00:25.6		40.70		5.81		0.4		0.01	3.00
00:26.6		40.66		5.79		0.4		0.01	3.00
00:27.6		40.64		5.83		0.5		0.01	3.00
00:28.6		40.59		5.82		0.6		0.01	3.01
00:29.6		40.57		5.82		0.6		0.02	3.01
00:30.6		40.56		5.83		0.7		0.02	3.01
00:31.6		40.56		5.81		0.7		0.02	3.01
00:32.6		40.56		5.80		0.8		0.02	3.01
00:33.6		40.56		5.82		0.9		0.02	3.01
00:34.6		40.56		5.82		0.9		0.02	3.02
00:35.6		40.56		5.82		1.0		0.02	3.02
00:36.6		40.56		5.81		1.1		0.03	3.02
00:37.6		40.56		5.80		1.1		0.03	3.02
00:38.6		40.56		5.83		1.2		0.03	3.02
00:39.6		40.56		5.82		1.3		0.03	3.02
00:40.6		40.56		5.82		1.3		0.03	3.03
00:41.6		40.56		5.82		1.4		0.03	3.03
00:42.6		40.56		5.81		1.5		0.04	3.03
00:43.6		40.56		5.83		1.5		0.04	3.03
00:44.6		40.56		5.82		1.6		0.04	3.03
00:45.6		40.56		5.83		1.7		0.04	3.03
00:46.6		40.56		5.82		1.7		0.04	3.03
00:47.6		40.56		5.81		1.8		0.04	3.04
00:48.6		40.56		5.82		1.9		0.05	3.04
00:49.6		40.55		5.82		1.9		0.05	3.04
00:50.6		40.55		5.82		2.0		0.05	3.04
00:51.6		40.56		5.82		2.1		0.05	3.04
00:52.6		40.55		5.84		2.1		0.05	3.04
00:53.6		40.55		5.83		2.2		0.05	3.05
00:54.6		40.55		5.82		2.3		0.06	3.05
00:55.6		40.55		5.83		2.3		0.06	3.05
00:56.6		40.55		5.82		2.4		0.06	3.05
00:57.6		40.54		5.82		2.5		0.06	3.05
00:58.6		40.52		5.83		2.5		0.06	3.05
00:59.6		40.51		5.83		2.6		0.06	3.06
01:00.6		40.48		5.82		2.6		0.07	3.06
01:01.6		40.45		5.81		2.7		0.07	3.06
01:02.6		40.43		5.82		2.8		0.07	3.06
01:03.6		40.42		5.83		2.8		0.07	3.06
01:04.6		40.42		5.81		2.9		0.07	3.06
01:05.6		40.41		5.82		3.0		0.07	3.07
01:06.6		40.41		5.82		3.0		0.07	3.07
01:07.6		40.41		5.81		3.1		0.08	3.07
01:08.6		40.41		5.83		3.2		0.08	3.07
01:15.0		40.41		5.81		3.2		0.08	3.07
01:16.2		40.41		5.82		3.7		0.09	3.08
01:17.2		40.41		5.81		3.7		0.09	3.08
01:18.2		40.41		5.82		3.8		0.09	3.09
01:19.2		40.41		5.82		3.9		0.10	3.09
01:20.2		40.41		5.82		3.9		0.10	3.09
01:21.2		40.41		5.82		4.0		0.10	3.09
01:22.2		40.41		5.82		4.1		0.10	3.09
01:23.2		40.41		5.83		4.1		0.10	3.09
01:24.2		40.41		5.81		4.2		0.10	3.10
01:25.2		40.41		5.82		4.3		0.10	3.10
01:26.2		40.41		5.82		4.3		0.11	3.10
01:27.2		40.41		5.81		4.4		0.11	3.10
01:28.2		40.41		5.81		4.5		0.11	3.10
01:29.2		40.41		5.81		4.5		0.11	3.10
01:30.2		40.41		5.81		4.6		0.11	3.11
01:31.2		40.41		5.82		4.6		0.11	3.11
01:32.2		40.41		5.80		4.7		0.12	3.11
01:33.2		40.41		5.81		4.8		0.12	3.11
01:34.2		40.41		5.80		4.8		0.12	3.11
01:35.2		40.41		5.80		4.9		0.12	3.11
01:36.2		40.40		5.81		5.0		0.12	3.11
01:37.2		40.41		5.81		5.0		0.12	3.12
01:38.2		40.40		5.82		5.1		0.13	3.12
01:39.2		40.41		5.82		5.2		0.13	3.12
01:40.4		40.40		5.81		5.2		0.13	3.12
01:41.6		40.41		5.82		5.3		0.13	3.12
01:42.6		40.40		5.81		5.4		0.13	3.13
01:43.6		40.40		5.82		5.5		0.13	3.13
01:44.6		40.40		5.81		5.5		0.14	3.13
01:45.6		40.40		5.82		5.6		0.14	3.13
01:46.6		40.39		5.81		5.7		0.14	3.13
01:47.6		40.38		5.83		5.7		0.14	3.13
01:48.6		40.37		5.82		5.8		0.14	3.13
01:49.6		40.36		5.81		5.8		0.14	3.14
01:50.6		40.34		5.81		5.9		0.15	3.14
01:51.6		40.33		5.81		6.0		0.15	3.14
01:52.6		40.31		5.82		6.0		0.15	3.14
01:53.6		40.30		5.83		6.1		0.15	3.14
01:54.6		40.28		5.82		6.2		0.15	3.14
01:55.6		40.28		5.80		6.2		0.15	3.15
01:56.6		40.27		5.79		6.3		0.16	3.15
01:57.6		40.27		5.81		6.4		0.16	3.15
01:58.6		40.26		5.82		6.4		0.16	3.15
01:59.6		40.26		5.82		6.5		0.16	3.15
02:00.6		40.26		5.82		6.6		0.16	3.15
02:01.6		40.26		5.81		6.6		0.16	3.16
02:02.6		40.26		5.80		6.7		0.17	3.16
02:03.6		40.26		5.82		6.8		0.17	3.16
02:04.6		40.26		5.83		6.8		0.17	3.16
02:05.6		40.26		5.80		6.9		0.17	3.16
02:06.6		40.26		5.81		7.0		0.17	3.16
02:07.6		40.26		5.81		7.0		0.17	3.17
02:08.6		40.26		5.81		7.1		0.18	3.17
02:09.6		40.26		5.82		7.1		0.18	3.17
02:10.6		40.26		5.80		7.2		0.18	3.17
02:11.6		40.26		5.80		7.3		0.18	3.17
02:12.6		40.26		5.82		7.3		0.18	3.17
02:13.6		40.26		5.83		7.4		0.18	3.18
02:14.6		40.25		5.81		7.5		0.18	3.18
02:15.6		40.26		5.82		7.5		0.19	3.18
02:16.6		40.26		5.81		7.6		0.19	3.18
02:17.6		40.26		5.82		7.7		0.19	3.18
02:18.6		40.25		5.80		7.7		0.19	3.18
02:19.6		40.26		5.81		7.8		0.19	3.18
02:20.6		40.26		5.83		7.9		0.19	3.19
02:21.6		40.26		5.81		7.9		0.20	3.19
02:22.6		40.26		5.82		8.0		0.20	3.19
02:23.6		40.26		5.82		8.1		0.20	3.19
02:24.6		40.26		5.81		8.1		0.20	3.19
02:25.6		40.26		5.81		8.2		0.20	3.19
02:26.6		40.26		5.82		8.3		0.20	3.20
02:27.6		40.25		5.81		8.3		0.21	3.20
02:28.6		40.26		5.81		8.4		0.21	3.20
02:29.6		40.25		5.83		8.4		0.21	3.20
02:30.6		40.26		5.82		8.5		0.21	3.20
02:31.6		40.26		5.81		8.6		0.21	3.20
02:32.6		40.25		5.80		8.6		0.21	3.21
02:33.6		40.26		5.81		8.7		0.22	3.21
02:34.6		40.26		5.82		8.8		0.22	3.21
02:35.6		40.26		5.82		8.8		0.22	3.21
02:36.6		40.25		5.80		8.9		0.22	3.21
02:37.6		40.26		5.82		9.0		0.22	3.21
02:38.6		40.25		5.80		9.0		0.22	3.22
02:39.6		40.25		5.81		9.1		0.23	3.22
02:40.6		40.26		5.80		9.2		0.23	3.22
02:41.6		40.26		5.82		9.2		0.23	3.22
02:42.6		40.25		5.81		9.3		0.23	3.22
02:43.6		40.25		5.80		9.4		0.23	3.22
02:44.6		40.26		5.81		9.4		0.23	3.23
02:45.6		40.25		5.80		9.5		0.23	3.23
02:46.6		40.26		5.81		9.6		0.24	3.23
02:47.6		40.25		5.81		9.6		0.24	3.23
02:48.6		40.26		5.80		9.7		0.24	3.23
02:49.6		40.26		5.82		9.7		0.24	3.23
02:50.6		40.25		5.82		9.8		0.24	3.23
02:51.6		40.25		5.81		9.9		0.24	3.24
02:52.6		40.26		5.81		9.9		0.25	3.24
02:53.6		40.26		5.80		10.0		0.25	3.24
02:54.6		40.25		5.81		10.1		0.25	3.24
02:55.6		40.25		5.82		10.1		0.25	3.24
02:56.6		40.25		5.80		10.2		0.25	3.24
02:57.6		40.25		5.81		10.3		0.25	3.25
02:58.6		40.25		5.82		10.3		0.26	3.25
02:59.6		40.25		5.83		10.4		0.26	3.25
03:00.6		40.25		5.81		10.5		0.26	3.25
03:01.6		40.25		5.80		10.5		0.26	3.25
03:02.6		40.25		5.80		10.6		0.26	3.25
03:03.6		40.24		5.80		10.7		0.26	3.26
03:04.6		40.24		5.81		10.7		0.27	3.26
03:05.6		40.23		5.82		10.8		0.27	3.26
03:06.6		40.22		5.81		10.9		0.27	3.26
03:07.6		40.21		5.82		10.9		0.27	3.26
03:08.6		40.20		5.79		11.0		0.27	3.26
03:09.6		40.19		5.81		11.0		0.27	3.27
03:10.6		40.18		5.81		11.1		0.28	3.27
03:11.6		40.17		5.80		11.2		0.28	3.27
03:12.6		40.16		5.80		11.2		0.28	3.27
03:13.6		40.14		5.81		11.3		0.28	3.27
03:14.6		40.14		5.79		11.4		0.28	3.27
03:15.6		40.13		5.80		11.4		0.28	3.27
03:16.6		40.12		5.81		11.5		0.28	3.28
03:17.6		40.12		5.82		11.6		0.29	3.28
03:18.6		40.12		5.81		11.6		0.29	3.28
03:19.6		40.11		5.82		11.7		0.29	3.28
03:20.6		40.11		5.81		11.8		0.29	3.28
03:21.6		40.11		5.79		11.8		0.29	3.28
03:22.6		40.11		5.81		11.9		0.29	3.29
03:23.6		40.11		5.81		12.0		0.30	3.29
03:24.6		40.11		5.80		12.0		0.30	3.29
03:25.6		40.11		5.80		12.1		0.30	3.29
03:26.6		40.11		5.79		12.1		0.30	3.29
03:27.6		40.11		5.81		12.2		0.30	3.29
03:28.6		40.11		5.81		12.3		0.30	3.30
03:29.6		40.11		5.81		12.3		0.31	3.30
03:30.6		40.11		5.83		12.4		0.31	3.30
03:31.6		40.11		5.80		12.5		0.31	3.30
03:32.6		40.11		5.80		12.5		0.31	3.30
03:33.6		40.11		5.80		12.6		0.31	3.30
03:34.6		40.11		5.80		12.7		0.31	3.31
03:35.6		40.11		5.81		12.7		0.32	3.31
03:36.6		40.11		5.81		12.8		0.32	3.31
03:37.6		40.11		5.82		12.9		0.32	3.31
03:38.6		40.11		5.82		12.9		0.32	3.31
03:39.6		40.11		5.82		13.0		0.32	3.31
03:40.6		40.11		5.79		13.1		0.32	3.32
03:41.6		40.11		5.80		13.1		0.33	3.32
03:42.6		40.11		5.81		13.2		0.33	3.32
03:43.6		40.11		5.80		13.2		0.33	3.32
03:44.6		40.11		5.83		13.3		0.33	3.32
03:45.6		40.11		5.82		13.4		0.33	3.32
03:46.6		40.11		5.81		13.4		0.33	3.32
03:47.6		40.10		5.81		13.5		0.33	3.33
03:48.6		40.11		5.81		13.6		0.34	3.33
03:49.6		40.11		5.81		13.6		0.34	3.33
03:50.6		40.11		5.82		13.7		0.34	3.33
03:51.6		40.11		5.80		13.8		0.34	3.33
03:52.6		40.10		5.80		13.8		0.34	3.33
