Time		V		A		Wh		Ah	CA_Ah
00:01.6		42.15		0.00		0.0		0.00	51.72
00:02.6		42.16		0.00		0.0		0.00	51.72
00:03.6		42.15		0.01		0.0		0.00	51.72
00:04.6		42.16		0.01		0.0		0.00	51.72
00:05.6		42.16		0.01		0.0		0.00	51.72
00:06.6		42.16		0.01		0.0		0.00	51.72
00:07.6		42.15		0.01		0.0		0.00	51.72
00:08.6		42.16		0.01		0.0		0.00	51.72
00:09.6		42.16		0.00		0.0		0.00	51.72
00:10.6		42.15		0.00		0.0		0.00	51.72
00:11.6		42.16		0.01		0.0		0.00	51.72
00:12.6		42.15		0.00		0.0		0.00	51.72
00:13.6		42.16		0.01		0.0		0.00	51.72
00:14.6		42.16		0.01		0.0		0.00	51.72
00:15.6		42.15		0.00		0.0		0.00	51.72
00:16.6		42.16		0.00		0.0		0.00	51.72
00:17.6		42.15		0.02		0.0		0.00	51.72
00:18.6		41.55		5.93		0.0		0.00	51.72
00:19.6		41.55		5.93		0.1		0.00	51.72
00:20.6		41.55		5.93		0.1		0.00	51.72
00:21.6		41.55		5.93		0.2		0.00	51.73
00:22.6		41.52		5.93		0.3		0.01	51.73
00:23.6		41.46		5.94		0.3		0.01	51.73
00:24.6		41.43		5.92		0.4		0.01	51.73
00:25.6		41.41		5.94		0.5		0.01	51.73
00:26.6		41.41		5.95		0.5		0.01	51.73
00:27.6		41.40		5.94		0.6		0.01	51.74
00:28.6		41.41		5.93		0.7		0.02	51.74
00:29.6		41.40		5.93		0.8		0.02	51.74
00:30.6		41.41		5.94		0.8		0.02	51.74
00:31.6		41.40		5.95		0.9		0.02	51.74
00:32.6		41.40		5.93		1.0		0.02	51.74
00:33.6		41.40		5.93		1.0		0.02	51.74
00:34.6		41.41		5.93		1.1		0.03	51.75
00:35.6		41.40		5.93		1.2		0.03	51.75
00:36.6		41.12		8.69		1.2		0.03	51.75
00:37.6		40.80		11.49		1.3		0.03	51.75
00:38.6		40.80		11.48		1.5		0.04	51.76
00:39.6		40.80		11.49		1.6		0.04	51.76
00:40.6		40.80		11.48		1.7		0.04	51.76
00:41.6		40.80		11.49		1.9		0.04	51.77
00:42.6		40.80		11.49		2.0		0.05	51.77
00:43.6		40.80		11.50		2.1		0.05	51.77
00:44.6		40.80		11.48		2.2		0.05	51.78
00:45.6		40.79		11.47		2.4		0.06	51.78
00:46.6		40.80		11.48		2.5		0.06	51.78
00:47.6		40.79		11.47		2.6		0.06	51.78
00:48.6		40.74		11.48		2.8		0.07	51.79
00:49.6		40.70		11.47		2.9		0.07	51.79
00:50.6		40.65		11.48		3.0		0.07	51.80
00:51.6		40.65		11.47		3.2		0.08	51.80
00:52.6		40.65		11.46		3.3		0.08	51.80
00:53.6		40.65		11.47		3.4		0.08	51.80
00:54.6		40.65		11.47		3.5		0.09	51.81
00:55.6		40.64		11.47		3.7		0.09	51.81
00:56.6		40.65		11.45		3.8		0.09	51.81
00:57.6		40.65		11.45		3.9		0.10	51.82
00:58.6		40.65		11.47		4.1		0.10	51.82
00:59.6		40.65		11.46		4.2		0.10	51.82
01:00.6		40.65		11.45		4.3		0.11	51.83
01:01.6		40.64		11.46		4.4		0.11	51.83
01:02.6		40.64		11.45		4.6		0.11	51.83
01:03.6		40.65		11.46		4.7		0.11	51.84
01:04.6		40.65		11.46		4.8		0.12	51.84
01:05.6		40.64		11.44		5.0		0.12	51.84
01:06.6		40.64		11.45		5.1		0.12	51.85
01:07.6		40.64		11.46		5.2		0.13	51.85
01:08.6		40.63		11.45		5.3		0.13	51.85
01:09.6		40.59		11.45		5.5		0.13	51.86
01:10.6		40.53		11.44		5.6		0.14	51.86
01:11.6		40.52		11.46		5.7		0.14	51.86
01:12.6		40.50		11.44		5.9		0.14	51.87
01:13.6		40.50		11.45		6.0		0.15	51.87
01:14.6		40.50		11.44		6.1		0.15	51.87
01:15.6		40.50		11.45		6.3		0.15	51.88
01:16.6		40.50		11.45		6.4		0.16	51.88
01:17.6		40.50		11.43		6.5		0.16	51.88
01:18.6		40.50		11.45		6.6		0.16	51.88
01:19.6		40.49		11.44		6.8		0.17	51.89
01:20.6		40.50		11.43		6.9		0.17	51.89
01:21.6		40.50		11.45		7.0		0.17	51.89
01:22.6		40.50		11.44		7.2		0.18	51.90
01:23.6		40.50		11.44		7.3		0.18	51.90
01:24.6		40.49		11.42		7.4		0.18	51.90
01:25.6		40.50		11.43		7.5		0.18	51.91
01:26.6		40.49		11.42		7.7		0.19	51.91
01:27.6		40.50		11.44		7.8		0.19	51.91
01:28.6		40.50		11.43		7.9		0.19	51.92
01:29.6		40.49		11.43		8.1		0.20	51.92
01:30.6		40.49		11.44		8.2		0.20	51.92
01:31.6		40.49		11.43		8.3		0.20	51.92
01:32.6		40.49		11.43		8.4		0.21	51.93
01:33.6		40.49		11.42		8.6		0.21	51.93
01:34.6		40.49		11.43		8.7		0.21	51.94
01:35.6		40.49		11.42		8.8		0.22	51.94
01:36.6		40.47		11.42		9.0		0.22	51.94
01:37.6		40.44		11.41		9.1		0.22	51.94
01:38.6		40.39		11.43		9.2		0.23	51.95
01:39.6		40.37		11.43		9.3		0.23	51.95
01:40.6		40.35		11.42		9.5		0.23	51.95
01:41.6		40.35		11.41		9.6		0.24	51.96
